id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,price,stock,sizes
1,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt,1299,50,"S,M,L,XL"
2,Women,Apparel,Topwear,Kurtas,Pink,Summer,2012,Ethnic,Libas Women Pink Kurta,2499,30,"XS,S,M,L,XL"
3,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual,Puma Men Race Blue Tshirt,799,100,"S,M,L,XL,XXL"
4,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2011,Casual,Jealous 21 Women Blue Jeans,1599,45,"26,28,30,32,34"
5,Men,Footwear,Shoes,Casual Shoes,Black,Year Round,2011,Casual,Provogue Men Black Casual Shoes,2999,25,"7,8,9,10,11"
6,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Vishudh Women Blue Silk Kurta,2499,20,"S,M,L,XL"
7,Men,Apparel,Bottomwear,Jeans,Black,Year Round,2011,Casual,Locomotive Men Black Jeans,1999,60,"30,32,34,36"
8,Women,Apparel,Ethnic,Saree,Red,Year Round,2012,Ethnic,Satya Paul Women Red Saree,5999,15,"Free Size"
9,Men,Apparel,Topwear,Kurtas,White,Summer,2012,Ethnic,Fabindia Men White Kurta,1899,35,"S,M,L,XL,XXL"
10,Women,Footwear,Sandals,Heels,Gold,Summer,2012,Formal,Inc.5 Women Gold Heels,1299,40,"5,6,7,8"
11,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Forever 21 Women White Top,899,80,"XS,S,M,L"
12,Men,Apparel,Topwear,Tshirts,Black,Year Round,2011,Casual,Nike Men Black Tshirt,1299,90,"S,M,L,XL,XXL"
13,Women,Apparel,Bottomwear,Leggings,Black,Year Round,2011,Casual,Go Colors Women Black Leggings,499,120,"S,M,L,XL"
14,Men,Footwear,Sports Shoes,Running Shoes,Blue,Year Round,2012,Sports,Adidas Men Blue Running Shoes,3999,30,"7,8,9,10,11,12"
15,Women,Apparel,Ethnic,Kurta Sets,Maroon,Fall,2012,Ethnic,Biba Women Maroon Anarkali Kurta Set,3499,25,"S,M,L,XL"
16,Men,Apparel,Topwear,Shirts,White,Year Round,2011,Formal,Van Heusen Men White Formal Shirt,1699,55,"38,40,42,44"
